_id,pin,number,total_amount
3530268,0076N00195000000,1,175.96
3530269,0076N00196000000,8,1362.63
3530270,0076N00198000000,14,3258.09
3530271,0076N00200000000,20,6366.03
3530272,0076N00206000000,1,260.62
3530273,0076N00209000000,1,144.74
3530274,0076N00210000000,7,2191.89
3530275,0076N00212000000,14,6359
3530276,0076N00213000000,1,350.77
3530277,0076N00214000000,2,107.09
3530278,0076N00215000000,41,10876.17
3530279,0076N00260000000,10,74.28
3530280,0076N00261000000,10,74.28
3530281,0076N00262000000,38,10786.67
3530282,0076N00269000000,9,2733.66
3530283,0076N00271000000,3,14.19
3530284,0076N00280000000,5,2653.83
3530285,0076N00281000000,14,3348.09
3530286,0076N00283000000,20,6321.33
3530287,0076N00291000000,34,11934.23
3530288,0076N00292000000,33,2420.2
3530289,0076N00300000000,23,3528.86
3530290,0076N00303000000,16,2515.28
3530291,0076N00306000000,33,8695.72
3530292,0076N00307000000,2,959.58
3530293,0076N00309000000,19,8521.41
3530294,0076N00316000000,12,1025.65
3530295,0076N00317000000,1,43.99
3530296,0076N00319000000,1,681.59
3530297,0076N00330000000,16,5514.93
3530298,0076N00367000000,1,191.56
3530299,0076N00371000000,33,7840.87
3530300,0076N00373000A00,22,987.92
3530301,0076N00374000000,10,2000.16
3530302,0076N00377000000,1,248.8
3530303,0076N00384000000,13,13727.9
3530304,0076N00391000000,1,193.46
3530305,0076P00008000000,16,6760.38
3530306,0076P00011000000,1,108.81
3530307,0076P00017000000,37,10074.2
3530308,0076P00027000000,1,158.46
3530309,0076P00042000000,16,6153.57
3530310,0076P00044000000,42,3166.12
3530311,0076P00046000000,1,184.94
3530312,0076P00056000000,1,80.41
3530313,0076P00058000000,1,27.43
3530314,0076P00060000000,1,183.52
3530315,0076P00062000000,1,110.68
3530316,0076P00066000000,7,1078.02
3530317,0076P00069000000,2,512.74
3530318,0076P00072000000,10,893.69
3530319,0076P00074000000,2,855.73
3530320,0076P00076000000,1,206.23
3530321,0076P00079000000,26,5865.2
3530322,0076P00084000000,1,186.84
3530323,0076P00087000000,17,2804.22
3530324,0076P00102000000,3,1850.4
3530325,0076P00103000000,21,6439.66
3530326,0076P00104000000,27,1627.18
3530327,0076P00107000000,14,2830.08
3530328,0076P00108000000,12,4622.08
3530329,0076P00109000000,4,911.83
3530330,0076P00110000000,3,28.38
3530331,0076P00117000000,18,4390.64
3530332,0076P00118000000,1,233.19
3530333,0076R00004000000,43,8699.75
3530334,0076R00006000000,7,2285.83
3530335,0076S00004000000,1,70.35
3530336,0076S00008000000,2,484.36
3530337,0076S00032000000,14,4197.63
3530338,0076S00058000000,19,5373.9
3530339,0076S00060000000,14,103.44
3530340,0076S00062000000,21,12684.48
3530341,0076S00078000000,22,874.41
3530342,0076S00079000000,19,9668.34
3530343,0076S00088000000,18,3975.58
3530344,0076S00089000000,11,957.1
3530345,0077A00017000000,2,671.55
3530346,0077A00073000000,1,688.22
3530347,0077A00118000000,1,347.16
3530348,0077B00034000000,1,406.78
3530349,0077B00044000000,4,1697.92
3530350,0077B00051000000,9,6108.96
3530351,0077B00065000000,2,61.18
3530352,0077B00096000000,3,9535.7
3530353,0077B00100000000,1,643.04
3530354,0077B00112000000,1,277.65
3530355,0077B00152000000,1,264.98
3530356,0077B00170000000,21,73.83
3530357,0077B00172000000,22,53.08
3530358,0077B00174000000,13,32.94
3530359,0077B00189000000,1,281.87
3530360,0077B00193000000,10,998.98
3530361,0077B00193000A00,1,147.58
3530362,0077B00194000000,3,274.69
3530363,0077B00195000000,13,11447.1
3530364,0077B00210000000,6,1839.05
3530365,0077B00212000000,11,3866.83
3530366,0077B00213000000,6,983.13
3530367,0077B00217000000,2,1469.79
3530368,0077B00324000000,13,903.22
3530369,0077B00354000000,22,37.38
3530370,0077C00008000000,47,2796.96
3530371,0077C00013000000,47,1106.95
3530372,0077C00097000000,19,901.73
3530373,0077C00103000000,24,151.83
3530374,0077D00046000000,3,25.86
3530375,0077D00178000000,55,12974.22
3530376,0077D00182000000,15,998.72
3530377,0077E00066000000,1,456.12
3530378,0077E00071000000,1,239.34
3530379,0077E00086000000,1,317.38
3530380,0077E00088000000,1,262.52
3530381,0077E00115000000,2,278.12
3530382,0077F00024000000,15,1188.14
3530383,0077F00025000000,25,11506.1
3530384,0077F00031000000,1,236.5
3530385,0077F00037000000,1,294.74
3530386,0077F00042000000,14,633.37
3530387,0077F00043000000,5,1310.31
3530388,0077F00049000000,1,52.6
3530389,0077F00051000000,1,47.77
3530390,0077F00121000000,2,690.58
3530391,0077F00151000000,11,1657.98
3530392,0077F00191000000,13,5884.97
3530393,0077F00192000000,6,1231.67
3530394,0077F00193000000,6,619.3
3530395,0077F00198000000,2,283.42
3530396,0077F00203000000,17,56.24
3530397,0077F00206000000,13,425.12
3530398,0077F00207000000,21,1660.12
3530399,0077F00225000000,4,5301.19
3530400,0077F00226000000,23,5713.61
3530401,0077F00227000000,4,85.12
3530402,0077F00229000000,8,1074.61
3530403,0077F00249000000,7,105.58
3530404,0077F00252000000,19,41.75
3530405,0077F00254000000,22,6004.16
3530406,0077F00272000000,1,214.8
3530407,0077F00278000000,29,3656.17
3530408,0077F00284000000,5,2004.02
3530409,0077G00014000000,21,213.45
3530410,0077G00098000001,26,565.21
3530411,0077G00115000000,6,101.36
3530412,0077G00129000000,62,2749.58
3530413,0077G00130000000,38,94.49
3530414,0077G00131000000,6,69.21
3530415,0077G00150000000,6,2392.16
3530416,0077G00167000000,13,2542.58
3530417,0077G00250000000,1,64.33
3530418,0077H00150000000,3,12.05
3530419,0077J00009000000,8,66.5
3530420,0077J00010000000,22,2725.94
3530421,0077J00011000000,17,1800.27
3530422,0077J00018000000,2,13.25
3530423,0077J00020000000,22,99.48
3530424,0077J00032000000,1,793.67
3530425,0077J00054000000,3,2860.48
3530426,0077J00092000000,1,369.41
3530427,0077J00109000000,1,368.94
3530428,0077J00116000000,4,2755.04
3530429,0077J00202000000,1,29.88
3530430,0077J00266000000,13,5.69
3530431,0077J00268000100,1,157.98
3530432,0077J00272000000,2,87.85
3530433,0077J00340000000,1,252.94
3530434,0077K00002000000,1,81.36
3530435,0077K00004000000,1,4.26
3530436,0077K00032000000,4,578.15
3530437,0077K00033000000,3,485.43
3530438,0077K00034000000,20,2667.2
3530439,0077K00035000000,6,149.4
3530440,0077K00045000000,1,19.87
3530441,0077K00078000000,22,4508.12
3530442,0077K00084000000,28,4409.49
3530443,0077K00085000000,37,3973.03
3530444,0077K00097000000,9,695.23
3530445,0077K00122000000,3,41.95
3530446,0077K00129000000,28,79.7
3530447,0077K00131000000,16,84.65
3530448,0077K00137000000,27,4432.5
3530449,0077K00139000000,22,1953.87
3530450,0077K00144000000,51,6996.41
3530451,0077K00145000000,6,1404.6
3530452,0077K00146000000,82,4764.03
3530453,0077K00148000000,20,12887.94
3530454,0077K00149000000,20,872.84
3530455,0077K00150000000,18,889.24
3530456,0077K00151000000,27,13.24
3530457,0077K00154000000,14,1671.29
3530458,0077K00157000000,12,1038.92
3530459,0077K00159000000,12,4633.7
3530460,0077K00191000000,66,1031.1
3530461,0077K00192000000,22,37.38
3530462,0077K00265000000,2,486.72
3530463,0077K00267000000,2,438.94
3530464,0077K00289000000,1,79.94
3530465,0077K00290000000,1,360.43
3530466,0077K00329000000,1,729.24
3530467,0077K00334000000,5,11095.58
3530468,0077L00001000000,8,129.73
3530469,0077L00066000000,48,1098.97
3530470,0077L00074000000,17,237.85
3530471,0077L00132000000,6,44.52
3530472,0077L00135000000,21,98.54
3530473,0077L00136000000,13,7450.97
3530474,0077L00216000000,1,223.73
3530475,0077M00043000000,31,13735.66
3530476,0077M00110000000,1,0.16
3530477,0077N00006000000,1,96.49
3530478,0077N00022000000,4,1383.08
3530479,0077N00068000000,1,256.37
3530480,0077N00073000000,1,180.18
3530481,0077N00080000000,2,94.31
3530482,0077N00085000000,13,9470.16
3530483,0077N00086000000,2,437.11
3530484,0077N00088000000,5,832.07
3530485,0077N00090000000,2,495.84
3530486,0077N00091000000,4,1438.48
3530487,0077N00095000000,33,13547.46
3530488,0077N00096000000,1,66.69
3530489,0077N00103000000,10,5437.15
3530490,0077N00105000000,6,569.45
3530491,0077N00106000000,31,9245.59
3530492,0077N00107000000,25,2821.12
3530493,0077N00124000000,1,63.86
3530494,0077N00158000000,2,223.96
3530495,0077N00159000000,3,63.84
3530496,0077N00163000000,1,9.23
3530497,0077N00164000000,5,3534.76
3530498,0077N00167000000,37,5140.04
3530499,0077N00180000000,1,21.28
3530500,0077N00187000000,6,3035.12
3530501,0077N00189000000,44,906.13
3530502,0077N00194000000,1,8.82
3530503,0077N00207000000,11,4154.67
3530504,0077N00209000000,3,22.71
3530505,0077N00224000000,11,82.09
3530506,0077N00227000000,21,8511.86
3530507,0077N00233000000,1,525.68
3530508,0077N00234000000,19,517.07
3530509,0077N00235000000,32,837.24
3530510,0077N00236000000,3,2906.12
3530511,0077N00250000000,5,4256.77
3530512,0077N00252000000,1,21.28
3530513,0077N00253000000,2,3389.11
3530514,0077N00278000000,1,150.41
3530515,0077N00286000000,6,3045.42
3530516,0077N00305000000,1,300.83
3530517,0077N00320000000,4,221.47
3530518,0077N00321000000,12,6217.87
3530519,0077N00323000000,1,357.59
3530520,0077N00326000000,2,51.73
3530521,0077N00329000000,21,6777.28
3530522,0077N00341000000,20,9061.8
3530523,0077N00342000000,47,3832.91
3530524,0077N00350000000,6,1922.6
3530525,0077N00352000000,21,5776.1
3530526,0077N00353000000,27,15562.52
3530527,0077N00356000000,3,600.24
3530528,0077N00357000000,9,2064.3
3530529,0077N00358000000,13,2497.45
3530530,0077N00359000000,25,16299.76
3530531,0077P00005000000,7,1227.51
3530532,0077P00006000000,22,8118.06
3530533,0077P00018000000,33,17451.75
3530534,0077P00024000000,24,31718.33
3530535,0077P00032000000,3,3008.27
3530536,0077P00036000000,1,252.58
3530537,0077P00044000000,4,2389.88
3530538,0077P00048000000,39,6812.89
3530539,0077P00052000000,23,4302.29
3530540,0077P00053000000,33,4620.1
3530541,0077P00055000000,40,13614.63
3530542,0077P00058000000,36,4177.3
3530543,0077P00060000000,3,9.93
3530544,0077P00061000000,5,231.03
3530545,0077P00063000000,4,218.66
3530546,0077P00065000000,17,321.4
3530547,0077P00068000000,6,1632.08
3530548,0077P00071000000,22,74.5
3530549,0077P00073000000,2,789.53
3530550,0077P00075000000,38,8997.28
3530551,0077P00077000000,58,4981.94
3530552,0077P00079000000,5,279
3530553,0077P00080000000,33,11452.33
3530554,0077P00081000000,47,15591.2
3530555,0077P00082000000,2,956.51
3530556,0077P00094000000,12,3051.02
3530557,0077P00101000000,16,3645.21
3530558,0077P00102000000,29,8498.42
3530559,0077P00104000000,1,47.3
3530560,0077P00105000000,3,913.83
3530561,0077P00107000000,19,77.68
3530562,0077P00109000000,10,53.58
3530563,0077P00110000000,5,70.68
3530564,0077P00111000000,43,1124.12
3530565,0077P00112000000,34,3061.77
3530566,0077P00113000000,33,890.36
3530567,0077P00114000000,43,3017.07
3530568,0077P00116000000,28,10606.11
3530569,0077P00118000000,12,119.67
3530570,0077P00121000000,26,5359.33
3530571,0077P00122000000,32,11195.83
3530572,0077P00125000000,44,14662.1
3530573,0077P00126000000,21,9086.36
3530574,0077P00128000000,1,3.78
3530575,0077P00134000000,4,487.76
3530576,0077P00140000000,2,546.78
3530577,0077P00144000000,15,192.68
3530578,0077P00145000000,15,282.93
3530579,0077P00146000000,33,10490.92
3530580,0077P00148000000,31,979.48
3530581,0077P00149000000,3,4523.76
3530582,0077P00151000000,4,5013.85
3530583,0077P00154000000,47,1837.75
3530584,0077P00156000000,37,1628.67
3530585,0077P00160000000,47,1231.44
3530586,0077P00161000000,58,1436.43
3530587,0077P00162000000,10,1049.41
3530588,0077P00163000000,47,3195.86
3530589,0077P00164000000,44,2856.81
3530590,0077P00166000000,4,836.89
3530591,0077P00171000000,3,478.76
3530592,0077P00175000000,15,6084.14
3530593,0077P00182000000,25,8102.58
3530594,0077P00183000000,27,1034.42
3530595,0077P00184000000,34,892.38
3530596,0077P00186000000,40,1364.81
3530597,0077P00188000000,44,7253.63
3530598,0077P00190000000,1,134.8
3530599,0077P00192000000,8,1903.8
3530600,0077P00196000000,40,4162.84
3530601,0077P00200000000,3,1103.25
3530602,0077P00202000000,3,2722.51
3530603,0077P00206000000,6,2330.71
3530604,0077P00210000000,41,7925.68
3530605,0077P00217000000,37,23410.81
3530606,0077P00219000000,2,388.08
3530607,0077P00224000000,25,6705.45
3530608,0077P00226000000,26,4104.23
3530609,0077P00227000000,47,19577.43
3530610,0077P00237000000,5,4894.41
3530611,0077P00251000000,23,14745.26
3530612,0077P00253000000,5,2641.97
3530613,0077P00257000000,20,11981.68
3530614,0077P00258000000,28,18844.69
3530615,0077P00267000000,21,716.94
3530616,0077P00268000000,27,2070.2
3530617,0077P00272000000,37,8477.77
3530618,0077P00275000000,12,662.16
3530619,0077P00280000000,1,181.16
3530620,0077P00281000000,18,3111.26
3530621,0077P00287000000,23,4855.65
3530622,0077P00299000000,14,112.25
3530623,0077P00313000000,12,979.63
3530624,0077P00314000000,10,97
3530625,0077P00315000000,5,130.56
3530626,0077P00316000000,34,13890.44
3530627,0077P00322000000,1,82.78
3530628,0077P00326000000,31,2159.15
3530629,0077P00334000000,15,7383.18
3530630,0077P00344000000,12,487.4
3530631,0077P00346000000,21,5287.03
3530632,0077P00348000000,21,14631.08
3530633,0077P00354000000,14,4118.1
3530634,0077P00355000000,27,2660.22
3530635,0077P00356000000,1,131.02
3530636,0077P00357000000,8,4020.56
3530637,0077P00366000000,2,12.31
3530638,0077P00369000000,55,1439.79
3530639,0077P00372000000,15,6652.79
3530640,0077P00374000000,14,4152.7
3530641,0077P00375000000,11,2092.92
3530642,0077P00376000000,20,6304.77
3530643,0077P00377000000,1,312.65
3530644,0077P00378000000,1,160.82
3530645,0077R00001000000,22,92.33
3530646,0077R00003000000,25,255.53
3530647,0077R00004000000,47,989.69
3530648,0077R00005000000,11,724.24
3530649,0077R00007000000,53,1975.55
3530650,0077R00008000000,1,118.72
3530651,0077R00009000000,1,6.62
3530652,0077R00011000000,38,5138.24
3530653,0077R00020000000,31,14230.11
3530654,0077R00021000000,19,5474.26
3530655,0077R00022000000,2,97.68
3530656,0077R00023000000,34,5704.77
3530657,0077R00024000000,6,2985.76
3530658,0077R00025000000,22,37.38
3530659,0077R00026000000,42,1285.81
3530660,0077R00027000000,12,36.36
3530661,0077R00034000000,6,793.68
3530662,0077R00035000000,21,61.23
3530663,0077R00036000000,32,12539.13
3530664,0077R00037000000,49,1236.67
3530665,0077R00038000000,49,1232.38
3530666,0077R00040000000,33,898.58
3530667,0077R00051000000,22,46.14
3530668,0077R00052000000,22,37.38
3530669,0077R00055000000,10,2394.91
3530670,0077R00056000000,17,3631.15
3530671,0077R00058000000,9,1401.3
3530672,0077R00060000000,29,11210.24
3530673,0077R00097000000,36,7623.87
3530674,0077R00100000000,33,113.13
3530675,0077R00101000000,32,67.11
3530676,0077R00103000000,44,3683.14
3530677,0077R00131000000,7,1.87
3530678,0077R00201000000,12,12.66
3530679,0077R00369000000,4,6.11
3530680,0077S00024000000,13,14.18
3530681,0077S00123000000,13,1437.39
3530682,0077S00135000000,52,3924.99
3530683,0077S00154000000,3,2838.04
3530684,0077S00157000000,1,109.74
3530685,0077S00164000000,7,23.7
3530686,0077S00172000000,45,5557.4
3530687,0077S00177000000,3,585.03
3530688,0077S00179000000,3,1051.02
3530689,0077S00182000000,10,2026.96
3530690,0077S00183000000,4,2230.36
3530691,0077S00187000000,8,72
3530692,0077S00240000000,8,33.79
3530693,0077S00244000000,2,11.26
3530694,0077S00262000000,4,250.59
3530695,0077S00269000000,1,279.54
3530696,0077S00278000000,14,7741.58
3530697,0078A00038000000,2,1524.18
3530698,0078A00048000000,2,2154.3
3530699,0078A00052000000,2,854.86
3530700,0078A00076000000,15,6953.88
3530701,0078A00082000000,56,325.66
3530702,0078A00083000000,98,456.11
3530703,0078A00086000000,2,1451.58
3530704,0078A00089000000,1,897.89
3530705,0078A00091000000,12,4326.97
3530706,0078A00093000000,11,5315.12
3530707,0078A00170000000,6,3557.98
3530708,0078A00220000000,8,80.9
3530709,0078B00006000000,70,10376.29
3530710,0078B00012000000,100,9561.67
3530711,0078B00016000000,82,98.12
3530712,0078B00025000000,73,9536.85
3530713,0078B00026000000,75,47.85
3530714,0078B00027000000,82,98.31
3530715,0078B00030000000,73,9527.47
3530716,0078B00032000000,44,154.49
3530717,0078B00038000000,73,9527.47
3530718,0078B00041000000,102,9827.59
3530719,0078B00048000000,76,69.94
3530720,0078B00050000000,55,150.18
3530721,0078B00052000000,53,143.53
3530722,0078B00055000000,54,164.05
3530723,0078B00058000000,73,9443.64
3530724,0078B00060000000,73,9807.05
3530725,0078B00067000000,54,134.85
3530726,0078B00071000000,101,10571.02
3530727,0078B00075000000,74,9611
3530728,0078B00078000000,48,52.93
3530729,0078B00084000000,75,10470.3
3530730,0078B00085000000,48,53.47
3530731,0078B00095000000,73,10722.43
3530732,0078B00098000000,73,9499.23
3530733,0078B00102000000,102,9761.33
3530734,0078B00106000000,72,10178.51
3530735,0078B00108000000,101,23610.9
3530736,0078C00032000000,2,2600.07
3530737,0078C00034000000,7,1500.2
3530738,0078C00058000000,29,462.84
3530739,0078C00060000000,14,91.84
3530740,0078C00077000000,1,1689.59
3530741,0078D00030000000,37,19493.25
3530742,0078E00234000000,2,1176.96
3530743,0078E00237000000,8,3925.69
3530744,0078E00246000000,9,23475.05
3530745,0078F00038000000,26,17951.98
3530746,0078F00040000000,1,575
3530747,0078F00053000000,1,416.3
3530748,0078F00057000000,38,19674.8
3530749,0078F00058000000,2,703.16
3530750,0078F00064000000,10,1254.66
3530751,0078F00088000000,73,9644.56
3530752,0078F00096000000,48,71.12
3530753,0078F00098000000,72,11590.78
3530754,0078F00103000000,16,1309.62
3530755,0078F00120000000,35,7536.88
3530756,0078F00130000000,54,124
3530757,0078F00135000000,72,9652.84
3530758,0078F00140000000,73,10270.23
3530759,0078F00145000000,76,10443.43
3530760,0078F00146000000,82,98.12
3530761,0078F00148000000,82,200.11
3530762,0078F00149000000,83,252.52
3530763,0078F00156000000,81,96.86
3530764,0078F00157000000,74,150.53
3530765,0078F00158000000,111,11222.66
3530766,0078F00168000000,48,48.43
3530767,0078F00169000000,61,3573.3
3530768,0078G00070000000,1,3301.04
3530769,0078G00082000000,3,3652.3
3530770,0078G00098000000,73,13998.81
3530771,0078G00110000000,9,6277.76
3530772,0078H00002000000,1,252.79
3530773,0078H00026000000,1,814.2
3530774,0078H00071000000,1,634.23
3530775,0078H00116000000,1,3095.96
3530776,0078H00172000100,1,67.38
3530777,0078H00178000000,19,99.74
3530778,0078J00050000000,1,498.4
3530779,0078K00150000000,65,17281.26
3530780,0078K00180000000,121,26406
3530781,0078K00200000000,81,271.78
3530782,0078K00201000000,28,625.86
3530783,0078K00300000000,79,22818.52
3530784,0078L00015000000,2,206.22
3530785,0078L00023000000,1,149.26
3530786,0078L00070000000,24,9786.58
3530787,0078L00072000000,19,2136.79
3530788,0078L00115000000,26,2129.4
3530789,0078L00150000000,26,2288
3530790,0078L00171000000,27,11078.32
3530791,0078L00174000000,23,96.88
3530792,0078L00190000000,26,2938.96
3530793,0078L00197000000,4,94.12
3530794,0078L00212000000,25,2507.78
3530795,0078L00217000000,28,20197.62
3530796,0078L00231000000,40,2725.11
3530797,0078L00234000000,5,5.5
3530798,0078L00237000000,68,18972.32
3530799,0078L00239000000,11,15517.59
3530800,0078L00250000000,42,2929.62
3530801,0078L00264000000,10,106.77
3530802,0078L00275000000,12,46.04
3530803,0078L00280000000,28,9393.8
3530804,0078L00313000000,2,4792.33
3530805,0078L00330000000,75,10233.94
3530806,0078M00022000000,102,8313.4
3530807,0078M00024000000,2,1312.77
3530808,0078M00025000000,1,1.42
3530809,0078M00036000000,2,2453.5
3530810,0078M00054000000,2,2272.46
3530811,0078M00060000000,7,4296.28
3530812,0078M00061000000,1,8.21
3530813,0078M00079000000,5,980.25
3530814,0078M00090000000,1,3185.58
3530815,0078M00178000000,1,2394.42
3530816,0078M01721000000,1,70.42
3530817,0078N00008000000,17,1561.43
3530818,0078N00301000000,22,27.96
3530819,0078P00150000000,20,374.09
3530820,0078R00034000000,26,3551.59
3530821,0078R00039000000,1,7.56
3530822,0078R00046000000,18,283
3530823,0078R00057000000,22,55.9
3530824,0078R00060000000,1,325
3530825,0078R00061000000,24,4738.61
3530826,0078R00068000000,18,40.3
3530827,0078R00078000000,5,2151.81
3530828,0078R00113000000,1,120.62
3530829,0078R00114000000,21,1644.96
3530830,0078R00180000000,4,197.06
3530831,0078R00200000000,29,2580.41
3530832,0078R00220000000,3,2104.14
3530833,0078R00245000000,20,7517.21
3530834,0078R00265000000,20,826.89
3530835,0078S00010000000,1,191.76
3530836,0078S00014000000,1,121.9
3530837,0078S00024000000,1,2199.22
3530838,0078S00025000000,30,9224.38
3530839,0078S00030000000,2,2240.06
3530840,0078S00032000000,7,52.78
3530841,0078S00042000000,56,810.76
3530842,0078S00114000000,16,8848.54
3530843,0078S00116000000,4,3646.02
3530844,0078S00122000000,1,2025.7
3530845,0078S00123000000,97,828.46
3530846,0078S00206000000,1,7.57
3530847,0078S00210000000,4,3651.43
3530848,0078S00220000000,75,12408.56
3530849,0078S00268000000,2,705.15
3530850,0079A00006000000,91,6871.61
3530851,0079A00015000000,107,7844.75
3530852,0079A00024000000,1,9.38
3530853,0079A00026000000,1,9.38
3530854,0079A00028000000,3,25.32
3530855,0079A00030000000,3,78.78
3530856,0079A00039000000,1,66.69
3530857,0079A00052000000,47,51.49
3530858,0079A00058000A00,3,1500.94
3530859,0079A00080000000,10,552.68
3530860,0079A00082000000,63,1012.11
3530861,0079A00083000000,3,1896.33
3530862,0079A00103000000,94,1124.52
3530863,0079A00110000000,2,5252.32
3530864,0079A00116000000,2,4098.48
3530865,0079A00122000000,2,1367.87
3530866,0079A00127000000,1,15.08
3530867,0079A00136000000,3,660.4
3530868,0079A00138000000,1,1087.93
3530869,0079A00140000000,2,2.52
3530870,0079A00163000000,7,5389.6
3530871,0079A00173000000,1,2046.03
3530872,0079A00176000000,1,1653.17
3530873,0079A00184000000,6,337.9
3530874,0079A00192000000,1,7.96
3530875,0079A00214000000,1,2021.15
3530876,0079A00290000000,90,14424.14
3530877,0079B00044000M00,1,962.5
3530878,0079B00065000000,13,3872.78
3530879,0079B00081000000,1,822.51
3530880,0079B00087000000,16,11092.54
3530881,0079B00102000000,1,486.97
3530882,0079B00121000000,6,4822.7
3530883,0079B00135000000,2,1383.68
3530884,0079B00140000000,7,23724.85
3530885,0079B00145000000,1,307.8
3530886,0079B00162000000,6,1048.45
3530887,0079B00163000200,1,57.95
3530888,0079B00184000000,21,9794.13
3530889,0079B00185000000,2,2735.23
3530890,0079B00187000000,2,4260.14
3530891,0079B00190000000,1,437.05
3530892,0079B00195000000,3,2734.53
3530893,0079B00196000000,10,5379.58
3530894,0079B00201000000,1,513.77
3530895,0079B00206000000,15,4043.68
3530896,0079B00213000000,2,1228.4
3530897,0079B00216000000,32,15132.67
3530898,0079B00218000000,2,714.44
3530899,0079B00227000000,1,28.88
3530900,0079B00228000000,70,62.85
3530901,0079B00246000000,25,3471.91
3530902,0079B00249000000,23,7158.12
3530903,0079B00251000000,1,865.41
3530904,0079B00263000000,2,1133.11
3530905,0079B00269000000,2,1027.4
3530906,0079B00303000000,19,12403.64
3530907,0079B00310000000,1,515.2
3530908,0079B00311000000,3,1716.57
3530909,0079B00312000000,2,1633.85
3530910,0079B00332000000,3,11.31
3530911,0079B00334000000,22,19527.3
3530912,0079B00335000000,12,7340
3530913,0079B00336000000,3,2068.17
3530914,0079B00336000A00,3,2004.85
3530915,0079B00339000000,18,7503.64
3530916,0079B00340000000,30,6517.84
3530917,0079B00358000000,1,94.13
3530918,0079B01631000000,1,736.31
3530919,0079B01632000000,2,844.21
3530920,0079B01861000000,2,885.83
3530921,0079C00009000000,1,472.07
3530922,0079C00036000000,12,3794.49
3530923,0079C00062000000,56,518.27
3530924,0079C00074000000,1,703.25
3530925,0079C00083000000,2,5227.03
3530926,0079C00087000000,1,392
3530927,0079C00096000000,7,4027.27
3530928,0079C00113000000,1,128.8
3530929,0079C00161000000,2,984.25
3530930,0079C00172000000,1,951.27
3530931,0079C00177000000,15,4232.31
3530932,0079C00178000000,17,11640.55
3530933,0079C00192000000,1,778.49
3530934,0079C00194000000,27,7096.57
3530935,0079C00217000002,2,5514.67
3530936,0079C00249000000,1,1144.17
3530937,0079C00255000000,7,7247.94
3530938,0079C00262000000,2,1031.49
3530939,0079C00270000000,27,13508.94
3530940,0079C00274000000,6,4321.54
3530941,0079C00276000000,6,146.49
3530942,0079C00278000000,6,163.38
3530943,0079C00280000000,1,192.6
3530944,0079C00294000000,3,349.2
3530945,0079C00295000000,14,3488.22
3530946,0079C00310000000,1,2513.5
3530947,0079C00328000000,1,155.62
3530948,0079C00350000000,1,146.93
3530949,0079C00354000000,1,2021
3530950,0079D00018000000,39,16.32
3530951,0079D00023000100,3,1046.32
3530952,0079D00024000000,39,16.32
3530953,0079D00031000000,10,2028.58
3530954,0079D00130000000,16,9038.87
3530955,0079E00026000000,1,30.18
3530956,0079E00032000000,88,963.75
3530957,0079E00034000000,4,2073.2
3530958,0079E00040000000,88,963.75
3530959,0079E00042000000,87,788.9
3530960,0079E00052000000,7,3580.94
3530961,0079E00056000000,32,10972.1
3530962,0079E00058000000,86,707.92
3530963,0079E00082000000,155,16851.97
3530964,0079E00084000000,1,728.5
3530965,0079E00089000000,104,4011.92
3530966,0079E00092000000,83,230.22
3530967,0079E00093000000,27,14604.92
3530968,0079E00110000000,1,386.28
3530969,0079E00128000000,2,1471.33
3530970,0079E00130000000,2,3275.52
3530971,0079E00152000000,134,9354.84
3530972,0079E00162000000,126,10587.86
3530973,0079E00170000000,96,14610.64
3530974,0079F00002000000,1,3965.13
3530975,0079F00009000000,52,5821.84
3530976,0079F00010000000,88,438.38
3530977,0079F00011000000,77,101.79
3530978,0079F00017000000,120,4838.82
3530979,0079F00032000000,22,12468.72
3530980,0079F00042000000,38,4778.78
3530981,0079F00043000000,2,513
3530982,0079F00055000000,9,4211.42
3530983,0079F00075000000,1,2045.86
3530984,0079F00095000000,112,2770.69
3530985,0079F00111000000,1,108.94
3530986,0079F00120000000,59,23906.31
3530987,0079F00135000000,1,47.3
3530988,0079F00140000000,8,9821.27
3530989,0079F00150000000,1,764.62
3530990,0079F00175000000,2,4085.03
3530991,0079F00199000000,13,7911.8
3530992,0079F00201000000,68,6507.99
3530993,0079F00206000000,1,7.56
3530994,0079F00208000000,9,205.83
3530995,0079F00210000000,1,5.04
3530996,0079F00212000000,75,4441.07
3530997,0079F00214000000,14,81.02
3530998,0079F00220000000,90,10317.87
3530999,0079F00247000000,1,1418.26
3531000,0079F00248000000,72,153.06
3531001,0079F00250000000,82,224.47
3531002,0079F00280000000,48,44.36
3531003,0079F00282000000,81,94.76
3531004,0079F00284000000,82,82.85
3531005,0079F00285000000,82,88.58
3531006,0079G00003000300,1,149.47
3531007,0079G00003000500,1,190.62
3531008,0079G00062000000,2,1176.58
3531009,0079G00067000000,9,13910.47
3531010,0079G00069000000,4,4912.98
3531011,0079G00072000000,19,8688.32
3531012,0079G00093000000,48,46.57
3531013,0079G00095000000,27,12503.74
3531014,0079G00120000000,25,7885.13
3531015,0079G00121000000,5,1799.98
3531016,0079G00122000000,14,4041.4
3531017,0079G00124000000,6,2399.7
3531018,0079G00127000000,1,580.55
3531019,0079G00130000000,7,1948.94
3531020,0079G00131000000,1,588.44
3531021,0079G00140000000,1,1915.07
3531022,0079G00144000000,2,432.22
3531023,0079G00148000000,1,9.27
